TeamId,TeamName,SubmissionDate,Score
4171800,"Yaroslav Isaienkov","2019-12-24 08:54:19",0.79650
4171800,"Yaroslav Isaienkov","2019-12-24 09:19:37",0.79895
4170958,"Gunes Evitan","2019-12-24 10:22:33",0.78057
4172343,"D Tejaswi Samrat","2019-12-24 10:54:57",0.77811
4172343,"D Tejaswi Samrat","2019-12-24 13:02:02",0.79803
4173513,"Ryo Namiki","2019-12-24 14:09:15",0.80999
4173738,"isa k [dsmlkz]","2019-12-24 15:18:33",0.82286
4170958,"Gunes Evitan","2019-12-24 18:11:51",0.79466
4170958,"Gunes Evitan","2019-12-24 18:25:59",0.79773
4170958,"Gunes Evitan","2019-12-24 18:56:17",0.80079
4174177,Terje,"2019-12-24 20:05:01",0.77260
4171800,"Yaroslav Isaienkov","2019-12-24 23:07:15",0.80079
4171087,jim95022,"2019-12-24 23:16:51",0.79497
4171087,jim95022,"2019-12-25 04:32:43",0.79528
4170958,"Gunes Evitan","2019-12-25 10:44:05",0.80539
4170032,"SAIT VNTU","2019-12-25 22:49:49",0.57033
4170223,Shahules786,"2019-12-26 08:12:50",0.80570
4170958,"Gunes Evitan","2019-12-26 08:59:15",0.81734
4170958,"Gunes Evitan","2019-12-26 09:35:53",0.82133
4172343,"D Tejaswi Samrat","2019-12-26 12:22:31",0.79865
4174177,Terje,"2019-12-26 14:23:28",0.81673
4174037,ColeStiegler,"2019-12-26 16:18:58",0.79436
4174037,ColeStiegler,"2019-12-26 19:37:02",0.81029
4174891,"Siarhei Melnik","2019-12-26 23:41:02",0.53294
4174891,"Siarhei Melnik","2019-12-27 01:33:08",0.57033
4174891,"Siarhei Melnik","2019-12-27 01:43:57",0.57186
4170958,"Gunes Evitan","2019-12-27 09:42:53",0.82653
4172343,"D Tejaswi Samrat","2019-12-27 09:48:29",0.82194
4173513,"Ryo Namiki","2019-12-27 11:22:00",0.81949
4173513,"Ryo Namiki","2019-12-27 11:55:08",0.82408
4170958,"Gunes Evitan","2019-12-27 15:07:50",0.82715
4182451,"Mike Pegnam","2019-12-27 17:05:04",0.55470
4185840,"sawan saxena","2019-12-27 19:18:18",0.57033
4182451,"Mike Pegnam","2019-12-27 21:11:08",0.79405
4174891,"Siarhei Melnik","2019-12-28 00:18:29",0.57615
4182451,"Mike Pegnam","2019-12-28 01:46:55",0.80692
4185840,"sawan saxena","2019-12-28 06:54:37",0.78700
4179499,wtf,"2019-12-28 13:49:41",0.00000
4179499,wtf,"2019-12-28 14:07:06",0.77903
4179499,wtf,"2019-12-28 16:09:57",0.79068
4170958,"Gunes Evitan","2019-12-28 17:15:00",0.83174
4179499,wtf,"2019-12-28 20:10:08",0.81826
4174891,"Siarhei Melnik","2019-12-29 00:51:57",0.57738
4179499,wtf,"2019-12-29 02:23:20",0.82071
4182451,"Mike Pegnam","2019-12-29 04:29:16",0.81520
4170958,"Gunes Evitan","2019-12-30 06:10:04",1.00000
4194077,"boiledfishpot ","2019-12-30 11:48:52",0.81581
4194077,"boiledfishpot ","2019-12-30 12:23:04",0.81795
4174891,"Siarhei Melnik","2019-12-30 21:52:16",0.82684
4182451,"Mike Pegnam","2019-12-30 23:34:00",0.83328
4195692,koan,"2019-12-31 00:14:20",0.72571
4194077,"boiledfishpot ","2019-12-31 03:42:24",0.82102
4173513,"Ryo Namiki","2019-12-31 07:55:52",1.00000
4182451,"Mike Pegnam","2019-12-31 17:37:59",0.83512
4195692,koan,"2019-12-31 19:18:17",0.74961
4198681,"Evan Alonso","2019-12-31 19:18:53",0.72847
4195692,koan,"2020-01-01 00:00:24",0.76156
4195692,koan,"2020-01-02 01:51:34",0.77321
4195692,koan,"2020-01-02 02:00:00",0.78118
4193998,"Sukumar Burra","2020-01-02 07:28:00",0.61691
4193998,"Sukumar Burra","2020-01-02 08:58:18",0.79160
4170106,Beans,"2020-01-02 08:59:46",0.82071
4203267,"Johny Jose","2020-01-02 10:07:18",1.00000
4195966,DikembeOfNull,"2020-01-02 20:29:01",1.00000
4186868,Datastic,"2020-01-02 22:42:36",0.00000
4186868,Datastic,"2020-01-02 22:44:15",0.68679
4186868,Datastic,"2020-01-02 22:49:54",0.71038
4186868,Datastic,"2020-01-02 22:59:26",0.71314
4186868,Datastic,"2020-01-02 23:06:07",0.72295
4186868,Datastic,"2020-01-03 04:22:56",0.72479
4186868,Datastic,"2020-01-03 04:35:56",0.78148
4174177,Terje,"2020-01-04 09:28:43",0.83910
4195692,koan,"2020-01-04 18:03:20",0.78302
4170106,Beans,"2020-01-05 09:42:28",0.82715
4212043,"Rohit Ranjan","2020-01-05 10:03:40",0.00000
4170106,Beans,"2020-01-05 11:58:04",0.83941
4195692,koan,"2020-01-05 12:21:23",0.78608
4195692,koan,"2020-01-05 12:25:04",0.78884
4170106,Beans,"2020-01-05 22:59:06",1.00000
4189210,"Jérôme E. Blanch∑t 👨🏻‍💻 📊 📈 📉","2020-01-07 18:13:27",1.00000
4221752,"Mohammad Huzefa Shaikh","2020-01-08 05:40:41",0.76248
4221752,"Mohammad Huzefa Shaikh","2020-01-09 04:53:00",0.78608
4221752,"Mohammad Huzefa Shaikh","2020-01-09 04:59:11",0.78639
4221752,"Mohammad Huzefa Shaikh","2020-01-09 05:05:10",0.78700
4171863,"Shalini Baranwal","2020-01-10 04:16:55",0.73551
4170032,"SAIT VNTU","2020-01-10 16:20:52",0.83818
4221752,"Mohammad Huzefa Shaikh","2020-01-12 08:33:08",0.78823
4235605,"Mateus P. Garcia","2020-01-12 08:52:20",0.79589
4235605,"Mateus P. Garcia","2020-01-12 09:16:59",0.79619
4235605,"Mateus P. Garcia","2020-01-13 04:45:30",0.80079
4218476,S&P,"2020-01-13 16:37:37",0.78057
4218476,S&P,"2020-01-14 02:31:19",0.78424
4195692,koan,"2020-01-14 03:16:22",0.79895
4195692,koan,"2020-01-14 03:30:47",0.80416
4235605,"Mateus P. Garcia","2020-01-15 11:12:45",0.80386
4189634,"Akhil Mokkapati","2020-01-16 08:21:21",0.81612
4218476,S&P,"2020-01-17 12:30:38",0.78455
4265800,"Xiao Song","2020-01-17 14:08:10",0.58657
4265800,"Xiao Song","2020-01-17 14:16:24",0.59362
4261617,"Soniya Nayak","2020-01-17 16:48:41",0.00000
4261617,"Soniya Nayak","2020-01-17 17:02:20",0.57033
4261617,"Soniya Nayak","2020-01-17 17:31:31",0.80661
4267942,Catadanna,"2020-01-17 19:08:46",0.69537
4267942,Catadanna,"2020-01-17 19:14:47",0.70303
4267942,Catadanna,"2020-01-17 19:20:15",0.70793
4249290,Dmitri9149,"2020-01-17 19:28:21",0.79098
4267942,Catadanna,"2020-01-18 00:25:54",0.76310
4266545,"Mayur Jain","2020-01-18 06:34:40",0.78915
4249290,Dmitri9149,"2020-01-18 10:46:54",0.79865
4195692,koan,"2020-01-18 16:41:56",0.80784
4235605,"Mateus P. Garcia","2020-01-18 17:41:04",0.81121
4267942,Catadanna,"2020-01-19 00:05:30",0.77413
4249290,Dmitri9149,"2020-01-19 09:35:41",0.80447
4249290,Dmitri9149,"2020-01-19 09:54:55",0.80508
4273346,Juan,"2020-01-19 11:23:07",0.78057
4179499,wtf,"2020-01-19 15:06:27",0.84308
4267942,Catadanna,"2020-01-20 00:09:40",0.78547
4218476,S&P,"2020-01-20 05:43:04",0.78669
4273976,"V.prasanna Kumar","2020-01-20 07:24:40",0.79374
4277182,"Kyrie Irv","2020-01-20 14:44:26",0.78332
4270689,"Amruthjithraj V.R","2020-01-20 17:23:21",0.23904
4277182,"Kyrie Irv","2020-01-21 01:31:23",0.79129
4265800,"Xiao Song","2020-01-21 09:35:47",0.60864
4277619,"Wojtek Rosa","2020-01-21 09:38:04",0.56696
4270689,"Amruthjithraj V.R","2020-01-21 22:17:10",0.77965
4284186,ifashion,"2020-01-22 00:50:08",0.00000
4284186,ifashion,"2020-01-22 00:58:12",0.75727
4270689,"Amruthjithraj V.R","2020-01-22 01:14:42",0.79528
4270689,"Amruthjithraj V.R","2020-01-22 01:56:38",0.79558
4278856,"Prasad Patil","2020-01-22 17:12:08",0.76708
4266545,"Mayur Jain","2020-01-23 08:45:55",0.78945
4277619,"Wojtek Rosa","2020-01-23 09:06:12",0.74226
4277619,"Wojtek Rosa","2020-01-23 09:10:30",0.76064
4284186,ifashion,"2020-01-23 22:06:55",0.77658
4284186,ifashion,"2020-01-23 22:22:02",0.77781
4284186,ifashion,"2020-01-24 00:01:41",0.82010
4277619,"Wojtek Rosa","2020-01-24 03:40:31",0.78486
4284186,ifashion,"2020-01-24 05:38:47",0.83941
4294663,MeisterMorxrc,"2020-01-24 06:34:39",0.78148
4267942,Catadanna,"2020-01-24 13:04:01",1.00000
4195692,koan,"2020-01-25 00:20:40",0.80937
4195692,koan,"2020-01-25 02:39:34",0.80999
4249290,Dmitri9149,"2020-01-25 07:48:56",0.80570
4292861,Jainish,"2020-01-25 08:39:16",0.73061
4292861,Jainish,"2020-01-25 08:43:35",0.75543
4274565,"Siddharth Agarwal","2020-01-25 09:19:22",0.75421
4265800,"Xiao Song","2020-01-26 06:45:19",0.61354
4294663,MeisterMorxrc,"2020-01-26 09:50:07",0.83328
4278856,"Prasad Patil","2020-01-26 11:13:45",0.80661
4218476,S&P,"2020-01-26 12:14:33",0.80631
4277729,"Shuen J","2020-01-27 03:57:52",0.55133
4193612,かぐる部,"2020-01-27 21:04:50",0.69016
4277619,"Wojtek Rosa","2020-01-28 09:49:04",0.78700
4218476,S&P,"2020-01-28 17:22:29",0.80815
4294032,"Mario Rugeles","2020-01-28 19:36:34",0.79405
4193612,かぐる部,"2020-01-29 05:17:01",0.73521
4249290,Dmitri9149,"2020-01-29 19:04:35",0.80999
4193612,かぐる部,"2020-01-29 20:40:05",0.74134
4310958,ShudharsananMuthuraj,"2020-01-30 03:12:20",0.00000
4310958,ShudharsananMuthuraj,"2020-01-30 03:14:41",0.79098
4297659,Egg,"2020-01-30 03:24:42",0.00000
4297659,Egg,"2020-01-30 03:35:06",0.65093
4310958,ShudharsananMuthuraj,"2020-01-30 04:09:05",0.80294
4297659,Egg,"2020-01-30 22:07:28",0.78148
4310958,ShudharsananMuthuraj,"2020-01-31 03:11:50",0.81274
4277619,"Wojtek Rosa","2020-01-31 08:52:33",0.78761
4249290,Dmitri9149,"2020-02-01 18:00:35",0.83481
4249290,Dmitri9149,"2020-02-02 09:53:34",0.83542
4249290,Dmitri9149,"2020-02-02 11:36:13",0.83573
4249290,Dmitri9149,"2020-02-02 17:31:33",0.83787
4277619,"Wojtek Rosa","2020-02-03 07:09:30",0.82929
4277619,"Wojtek Rosa","2020-02-03 09:21:09",0.83879
4337516,jesvinho,"2020-02-04 01:28:38",0.78179
4337516,jesvinho,"2020-02-04 02:36:17",0.80049
4277619,"Wojtek Rosa","2020-02-04 10:33:18",0.84339
4221752,"Mohammad Huzefa Shaikh","2020-02-04 12:49:30",0.79129
4221752,"Mohammad Huzefa Shaikh","2020-02-04 13:09:39",0.79221
4346189,CLoon,"2020-02-05 10:32:42",0.78148
4293200,EightLegs,"2020-02-06 10:34:02",0.79957
4277619,"Wojtek Rosa","2020-02-06 10:42:42",0.84462
4249855,"Debaditya #2","2020-02-06 13:15:23",0.50812
4194517,liaison,"2020-02-07 12:03:47",0.78577
4249855,"Debaditya #2","2020-02-07 12:42:02",0.79160
4249855,"Debaditya #2","2020-02-07 12:43:41",0.79895
4235605,"Mateus P. Garcia","2020-02-07 19:43:41",0.81734
